title;description;amount;average_per_member;date_purchased;date_created;last_update;user_id;category_id;group_id;is_deleted
DM ;;9.05;4.525;2025-08-30;2025-08-30;;1;22;3;false
Bulgarien ;Sonstiges (City Tax, Geschenke);27.28;13.64;2025-08-30;2025-08-30;;2;26;3;false
Vollcorner ;;26.16;13.08;2025-08-30;2025-08-30;;1;18;3;false
Edeka ;;101.21;50.605;2025-08-30;2025-08-30;;1;18;3;false
Internet;;37.4;18.7;2025-08-25;2025-08-25;;1;20;3;false
Rossmann ;;13.98;6.99;2025-08-23;2025-08-23;;1;18;3;false
Vollcorner ;;22.74;11.37;2025-08-23;2025-08-23;;1;18;3;false
Edeka ;;81.41;40.705;2025-08-23;2025-08-23;;1;18;3;false
DM ;;11.65;5.825;2025-08-23;2025-08-23;;1;22;3;false
Bulgarien ;Mobilität: Mietwagen, Sprit, Öffis;560.7;280.35;2025-08-15;2025-08-15;;2;26;3;false
Bulgarien;Ausflüge ;108.92;54.46;2025-08-15;2025-08-15;;2;26;3;false
Bulgarien ;Unterkunft;713.78;356.89;2025-08-15;2025-08-15;;2;26;3;false
Bulgarien;Einkaufen;104.32;52.16;2025-08-15;2025-08-15;;2;26;3;false
Bulgarien;Essen und Trinken, Restaurant und Snacks;406.57;203.285;2025-08-15;2025-08-15;;2;26;3;false
Bulgarien ;Flüge;603.62;301.81;2025-08-15;2025-08-15;;2;26;3;false
Geschenk Gralle;Wein + Gutschein + Pralinen ;50;25;2025-08-09;2025-08-09;;1;17;3;false
Baumarkt ;Gartenschlauch & Spritzdüse;68.98;34.49;2025-08-08;2025-08-08;;1;20;3;false
Frühstück ;Westend Café ;35;17.5;2025-08-08;2025-08-08;;1;19;3;false
Edeka ;;82.32;41.16;2025-08-02;2025-08-02;;1;18;3;false
Vollcorner ;;24.07;12.035;2025-08-02;2025-08-02;;1;18;3;false
Edeka;;24.9;12.45;2025-07-26;2025-07-26;;2;18;3;false
Bulgarien;Flug nach Sofia;603.62;301.81;2025-07-26;2025-07-26;;2;26;3;false
Vollcorner;Pan;3.43;1.715;2025-07-26;2025-07-26;;2;18;3;false
Vollcorner ;;12.08;6.04;2025-07-26;2025-07-26;;1;18;3;false
Edeka ;;103.94;51.97;2025-07-26;2025-07-26;;1;18;3;false
ARD ZDF DRadio ;;55.08;27.54;2025-07-26;2025-07-26;;2;20;3;false
Pollo rostizado;;14;7;2025-07-23;2025-07-23;;2;18;3;false
Internet ;;37.4;18.7;2025-07-23;2025-07-23;;1;20;3;false
Vollcorner ;;32.91;16.455;2025-07-21;2025-07-21;;1;18;3;false
SAM;Con mosca + Trinkgeld;41;20.5;2025-07-21;2025-07-21;;2;19;3;false
Edeka ;;56.83;28.415;2025-07-21;2025-07-21;;1;18;3;false
Tanken ;Wartenberg;51.16;25.58;2025-07-19;2025-07-19;;1;24;3;false
Edeka;;30.87;15.435;2025-07-17;2025-07-17;;2;18;3;false
Rossmann ;;6.86;3.43;2025-07-12;2025-07-12;;2;22;3;false
Vollcorner ;;27.47;13.735;2025-07-12;2025-07-12;;1;18;3;false
DM;;8.95;4.475;2025-07-12;2025-07-12;;2;22;3;false
Edeka;;77.39;38.695;2025-07-12;2025-07-12;;2;18;3;false
Dean & David;;21.9;10.95;2025-07-11;2025-07-11;;2;19;3;false
Rossmann ;;13.98;6.99;2025-07-11;2025-07-11;;1;18;3;false
Edeka ;;8.76;4.38;2025-07-10;2025-07-10;;1;18;3;false
Netflix ;;13.99;6.995;2025-07-08;2025-07-08;;2;20;3;false
Vollcorner ;;19.68;9.84;2025-07-05;2025-07-05;;1;18;3;false
Edeka ;;71.94;35.97;2025-07-05;2025-07-05;;1;18;3;false
Edeka ;;58.37;29.185;2025-07-04;2025-07-04;;1;18;3;false
SWM Strom;;36;18;2025-06-30;2025-06-30;;2;20;3;false
Vollcorner ;;33.58;16.79;2025-06-28;2025-06-28;;1;18;3;false
Walnusswecken;;5.49;2.745;2025-06-28;2025-06-28;;2;18;3;false
Edeka ;;81.21;40.605;2025-06-28;2025-06-28;;1;18;3;false
Dean's and David's;Kollegiale Mittagspause <3;22;11;2025-06-27;2025-06-27;;2;19;3;false
Pollito Rostizado 🍗;;13;6.5;2025-06-25;2025-06-25;;2;18;3;false
Internet ;;37.4;18.7;2025-06-23;2025-06-23;;1;20;3;false
Edeka ;;71.99;35.995;2025-06-20;2025-06-20;;1;18;3;false
Mammas Geburtstag ;Blumen;19;9.5;2025-06-20;2025-06-20;;2;17;3;false
Mammas Geburtstag ;Gutschein Massage Buam Siam;60;30;2025-06-20;2025-06-20;;2;17;3;false
Vollcorner ;;35.68;17.84;2025-06-20;2025-06-20;;1;18;3;false
DM;;5.55;2.775;2025-06-20;2025-06-20;;1;18;3;false
Pizza Noi;;27;13.5;2025-06-19;2025-06-19;;2;19;3;false
Biergarten ;Augustiner ;37;18.5;2025-06-18;2025-06-18;;2;19;3;false
Rossmann ;;15.43;7.715;2025-06-14;2025-06-14;;1;18;3;false
Edeka;;88.36;44.18;2025-06-14;2025-06-14;;2;18;3;false
Vollcorner ;;41.26;20.63;2025-06-14;2025-06-14;;1;18;3;false
Biergarten ;;26.5;13.25;2025-06-14;2025-06-14;;1;19;3;false
DM;Geburtstagskarte;4.9;2.45;2025-06-14;2025-06-14;;2;17;3;false
DM;;10.95;5.475;2025-06-14;2025-06-14;;2;22;3;false
Vollcorner ;;28.66;14.33;2025-06-11;2025-06-11;;1;18;3;false
Netflix;;13.99;6.995;2025-06-10;2025-06-10;;2;20;3;false
Vollcorner ;;49.12;24.56;2025-06-07;2025-06-07;;1;18;3;false
Edeka;;104.58;52.29;2025-06-07;2025-06-07;;2;18;3;false
Edeka;;15.07;7.535;2025-06-06;2025-06-06;;2;18;3;false
Edeka ;;25.92;12.96;2025-06-03;2025-06-03;;1;18;3;false
DM;Gasflasche ;5.55;2.775;2025-05-31;2025-05-31;;1;18;3;false
Edeka ;;48.52;24.26;2025-05-31;2025-05-31;;1;18;3;false
Vollcorner ;;38.96;19.48;2025-05-31;2025-05-31;;1;18;3;false
Edeka;;14.67;7.335;2025-05-30;2025-05-30;;2;18;3;false
Rossmann ;;15.47;7.735;2025-05-30;2025-05-30;;1;18;3;false
SAM;;38.85;19.425;2025-05-30;2025-05-30;;2;19;3;false
Rischarts;;16.2;8.1;2025-05-29;2025-05-29;;2;19;3;false
Pizza Noi;;33.17;16.585;2025-05-29;2025-05-29;;2;19;3;false
SWM Strom ;;36;18;2025-05-28;2025-05-28;;2;20;3;false
caVa;;50;25;2025-05-25;2025-05-25;;1;19;3;false
Vollcorner ;;33.97;16.985;2025-05-24;2025-05-24;;1;18;3;false
Bauhaus ;Tomatitos, Plastikkisten, Wäscheständer für Badewanne;92.88;46.44;2025-05-24;2025-05-24;;2;20;3;false
DM;;12.15;6.075;2025-05-24;2025-05-24;;2;22;3;false
Edeka;;91.67;45.835;2025-05-24;2025-05-24;;2;18;3;false
Vollcorner;La hora;7.1;3.55;2025-05-24;2025-05-24;;2;18;3;false
Edeka;;19.87;9.935;2025-05-24;2025-05-24;;2;18;3;false
Edeka;;13.99;6.995;2025-05-24;2025-05-24;;2;18;3;false
Hofpfisterei ;;10.98;5.49;2025-05-23;2025-05-23;;2;18;3;false
Internet ;;37.4;18.7;2025-05-23;2025-05-23;;1;20;3;false
Edeka;;27.98;13.99;2025-05-22;2025-05-22;;2;18;3;false
Kostas;;15;7.5;2025-05-17;2025-05-17;;2;18;3;false
Netflix;;13.99;6.995;2025-05-17;2025-05-17;;2;20;3;false
Vollcorner ;;37.1;18.55;2025-05-17;2025-05-17;;1;18;3;false
Edeka ;;64;32;2025-05-17;2025-05-17;;1;18;3;false
Edeka;;18.75;9.375;2025-05-16;2025-05-16;;2;18;3;false
Pizza Noi;;27;13.5;2025-05-15;2025-05-15;;2;19;3;false
Hofpfisterei;1/2 Walnussbrot;10.1;5.05;2025-05-13;2025-05-13;;1;18;3;false
Tanken ;;48.4;24.2;2025-05-11;2025-05-11;;1;24;3;false
Rossmann ;Nusskernmischung 2x;13.98;6.99;2025-05-09;2025-05-09;;1;18;3;false
DM;;13.4;6.7;2025-05-09;2025-05-09;;1;18;3;false
Edeka ;;46.5;23.25;2025-05-09;2025-05-09;;1;18;3;false
Vollcorner ;;32.86;16.43;2025-05-09;2025-05-09;;1;18;3;false
Edeka;;56.63;28.315;2025-05-08;2025-05-08;;2;18;3;false
Vollcorner ;;28.61;14.305;2025-05-03;2025-05-03;;2;18;3;false
Kaffee / Kuchen;Rischarts;18.75;9.375;2025-05-03;2025-05-03;;2;15;3;false
Edeka;;25.39;12.695;2025-05-03;2025-05-03;;2;18;3;false
DM;;10.4;5.2;2025-05-03;2025-05-03;;2;22;3;false
Edeka;;25.92;12.96;2025-05-03;2025-05-03;;2;18;3;false
Abendessen Jachenau;;40;20;2025-05-01;2025-05-01;;2;15;3;false
Parken;Wandern auf den Hirschhörnlkogel in Jachenau ;5;2.5;2025-05-01;2025-05-01;;1;24;3;false
Edeka;;5.28;2.64;2025-04-30;2025-04-30;;2;18;3;false
Edeka;;16.32;8.16;2025-04-30;2025-04-30;;2;18;3;false
DM;;3.1;1.55;2025-04-30;2025-04-30;;2;22;3;false
Edeka ;;36.4;18.2;2025-04-28;2025-04-28;;1;18;3;false
SWM Strom;;36;18;2025-04-28;2025-04-28;;2;20;3;false
Vollcorner ;;41.3;20.65;2025-04-26;2025-04-26;;1;18;3;false
Edeka ;;59.8;29.9;2025-04-26;2025-04-26;;1;18;3;false
Internet ;;37.4;18.7;2025-04-21;2025-04-21;;1;20;3;false
Vollcorner ;;15.78;7.89;2025-04-19;2025-04-19;;1;18;3;false
Rossmann ;Nusskernmischung 2x;13.98;6.99;2025-04-19;2025-04-19;;1;18;3;false
Edeka ;;38.61;19.305;2025-04-19;2025-04-19;;1;18;3;false
Edeka;;24.44;12.22;2025-04-17;2025-04-17;;2;18;3;false
Edeka;;15.35;7.675;2025-04-15;2025-04-15;;2;18;3;false
Edeka;;27.12;13.56;2025-04-15;2025-04-15;;2;18;3;false
ARD / ZDF Radio;;55.08;27.54;2025-04-15;2025-04-15;;2;20;3;false
Tanken ;;45.67;22.835;2025-04-13;2025-04-13;;1;24;3;false
Bauhaus;Bioabfallaimer, Schleifpapier, Blumen, Reinigungsmittel ;19.13;9.565;2025-04-13;2025-04-13;;2;20;3;false
Edeka ;;56.43;28.215;2025-04-12;2025-04-12;;1;18;3;false
Pizza;;13.5;6.75;2025-04-12;2025-04-12;;1;19;3;false
DM;;7.65;3.825;2025-04-12;2025-04-12;;2;22;3;false
Vollcorner ;;38.48;19.24;2025-04-12;2025-04-12;;1;18;3;false
Netflix;;13.99;6.995;2025-04-08;2025-04-08;;2;18;3;false
Hofpfisterei;;10.77;5.385;2025-04-08;2025-04-08;;2;18;3;false
Edeka ;;45.39;22.695;2025-04-08;2025-04-08;;1;18;3;false
Vollcorner ;;80.7;40.35;2025-04-05;2025-04-05;;1;18;3;false
Edeka ;;72.08;36.04;2025-04-05;2025-04-05;;1;18;3;false
DM;;8.29;4.145;2025-04-05;2025-04-05;;1;22;3;false
Essen;Vietnamese;50;25;2025-04-04;2025-04-04;;1;19;3;false
Edeka ;;52.89;26.445;2025-04-01;2025-04-01;;1;18;3;false
Bauhaus;Bodenschutzmatten und Blumen ;69.88;34.94;2025-03-31;2025-03-31;;2;20;3;false
Edeka;;14.05;7.025;2025-03-29;2025-03-29;;2;18;3;false
Galeria;Tischdecke und Flickstoff;54.82;27.41;2025-03-29;2025-03-29;;2;20;3;false
Noi Pizza ;;18.5;9.25;2025-03-29;2025-03-29;;2;19;3;false
Vollcorner ;;47.46;23.73;2025-03-29;2025-03-29;;2;18;3;false
Edeka;;49.56;24.78;2025-03-28;2025-03-28;;2;18;3;false
SWM Strom;;36;18;2025-03-28;2025-03-28;;2;20;3;false
Rossmann ;Nüsse;16.97;8.485;2025-03-28;2025-03-28;;2;18;3;false
Edeka ;;22.72;11.36;2025-03-24;2025-03-24;;2;18;3;false
SAM;;38.85;19.425;2025-03-23;2025-03-23;;2;19;3;false
Vollcorner ;;50.65;25.325;2025-03-22;2025-03-22;;1;18;3;false
Edeka ;;45.03;22.515;2025-03-22;2025-03-22;;1;18;3;false
DM;;11.95;5.975;2025-03-22;2025-03-22;;1;22;3;false
Edeka;;50.41;25.205;2025-03-21;2025-03-21;;2;18;3;false
Pan;;8.83;4.415;2025-03-21;2025-03-21;;2;18;3;false
Internet ;;37.4;18.7;2025-03-21;2025-03-21;;1;20;3;false
NOI Pizza;;31;15.5;2025-03-21;2025-03-21;;2;19;3;false
Edeka;;15.56;7.78;2025-03-21;2025-03-21;;2;18;3;false
Pollito rostizado 🍗;;14;7;2025-03-19;2025-03-19;;2;18;3;false
Vollcorner ;;37.06;18.53;2025-03-15;2025-03-15;;1;18;3;false
DM;Folio;7.95;3.975;2025-03-15;2025-03-15;;1;22;3;false
Edeka ;;73.84;36.92;2025-03-15;2025-03-15;;1;18;3;false
Edeka ;;65.85;32.925;2025-03-12;2025-03-12;;1;18;3;false
Rossmann ;Nusskernmischung 2x;13.98;6.99;2025-03-12;2025-03-12;;1;18;3;false
Netflix ;;13.99;6.995;2025-03-10;2025-03-10;;2;20;3;false
Edeka;;109.7;54.85;2025-03-08;2025-03-08;;2;18;3;false
Vollcorner ;;30.08;15.04;2025-03-08;2025-03-08;;2;18;3;false
Edeka;;21.47;10.735;2025-03-08;2025-03-08;;2;18;3;false
Ausgleichszahlung von Sven;;-800;-400;2025-03-05;2025-03-05;;2;16;3;false
Ausgleichszahlung an Montse;;800;400;2025-03-05;2025-03-05;;1;16;3;false
Kostas;;35;17.5;2025-03-01;2025-03-01;;2;18;3;false
 Vollcorner ;;13.37;6.685;2025-03-01;2025-03-01;;1;18;3;false
Edeka ;;52.27;26.135;2025-03-01;2025-03-01;;1;18;3;false
SWM Strom;;36;18;2025-02-28;2025-02-28;;2;20;3;false
Geschenk für Andrea (Nachbarin);Wein;25;12.5;2025-02-28;2025-02-28;;1;17;3;false
Pollo rostizado;;13;6.5;2025-02-24;2025-02-24;;2;18;3;false
Vollcorner ;;27.05;13.525;2025-02-24;2025-02-24;;2;18;3;false
DM;;16.55;8.275;2025-02-24;2025-02-24;;2;22;3;false
Internet ;;37.4;18.7;2025-02-22;2025-02-22;;1;20;3;false
Edeka;;79.09;39.545;2025-02-22;2025-02-22;;1;18;3;false
Vollcorner ;Brot ;5.8;2.9;2025-02-22;2025-02-22;;1;18;3;false
DM;Bialetti;48.1;24.05;2025-02-22;2025-02-22;;1;18;3;false
Vollcorner ;;29.08;14.54;2025-02-21;2025-02-21;;2;18;3;false
Edeka;;36.82;18.41;2025-02-21;2025-02-21;;2;18;3;false
Vollcorner ;;8.99;4.495;2025-02-18;2025-02-18;;2;18;3;false
DM;;17.6;8.8;2025-02-18;2025-02-18;;2;22;3;false
Edeka;;3.99;1.995;2025-02-18;2025-02-18;;2;18;3;false
Tanken;Tankstelle Wartenberg;54.46;27.23;2025-02-16;2025-02-16;;1;24;3;false
Vollcorner ;;20.37;10.185;2025-02-15;2025-02-15;;1;18;3;false
Edeka ;;96.97;48.485;2025-02-15;2025-02-15;;1;18;3;false
Lottoshop;Karte und Ballon für Bäda's Geburtstag ;11;5.5;2025-02-15;2025-02-15;;1;17;3;false
Vollcorner ;;64.09;32.045;2025-02-14;2025-02-14;;2;18;3;false
Edeka;;37.81;18.905;2025-02-13;2025-02-13;;2;18;3;false
Netflix ;;13.99;6.995;2025-02-10;2025-02-10;;2;20;3;false
Vollcorner ;;46.47;23.235;2025-02-08;2025-02-08;;2;18;3;false
Pizza Noi;Betrag ca. Pizza + BRuschetta;22;11;2025-02-08;2025-02-08;;2;19;3;false
Edeka ;;84.44;42.22;2025-02-07;2025-02-07;;1;18;3;false
Pizza Noi;Eine Pizza ca.;14;7;2025-02-07;2025-02-07;;2;19;3;false
Kiste für Terasse;;10;5;2025-02-04;2025-02-04;;1;20;3;false
DM;;25.55;12.775;2025-02-01;2025-02-01;;1;22;3;false
Edeka ;;79.53;39.765;2025-02-01;2025-02-01;;1;18;3;false
Vollcorner ;;43.92;21.96;2025-02-01;2025-02-01;;1;18;3;false
Pizza Noi;2 Pizzas;29.7;14.85;2025-01-31;2025-01-31;;2;19;3;false
SWM Strom ;;36;18;2025-01-28;2025-01-28;;2;20;3;false
Vollcorner ;;25.4;12.7;2025-01-28;2025-01-28;;2;18;3;false
Vollcorner;;19.08;9.54;2025-01-28;2025-01-28;;2;18;3;false
Edeka ;;93.79;46.895;2025-01-25;2025-01-25;;1;18;3;false
Vollcorner ;;39.02;19.51;2025-01-25;2025-01-25;;1;18;3;false
Internet ;;37.4;18.7;2025-01-23;2025-01-23;;1;20;3;false
Vollcorner ;;34.78;17.39;2025-01-21;2025-01-21;;1;18;3;false
Edeka ;;66.04;33.02;2025-01-21;2025-01-21;;1;18;3;false
Edeka;;6.98;3.49;2025-01-20;2025-01-20;;2;18;3;false
Betriebskosten Nachzahlung aus 2023;;1369.48;684.74;2025-01-19;2025-01-19;;2;20;3;false
Edeka;;37.47;18.735;2025-01-18;2025-01-18;;2;18;3;false
Vollcorner ;;28.08;14.04;2025-01-18;2025-01-18;;2;18;3;false
Rossmann ;Nussmischung;13.98;6.99;2025-01-18;2025-01-18;;2;18;3;false
Edeka ;;25.25;12.625;2025-01-18;2025-01-18;;1;18;3;false
ARD ZDF Radio ;Beitragservice;55.08;27.54;2025-01-18;2025-01-18;;2;20;3;false
Karte und Sticke;Für Milena;5.45;2.725;2025-01-18;2025-01-18;;2;17;3;false
Edeka;;29.5;14.75;2025-01-14;2025-01-14;;2;18;3;false
Edeka ;;66.89;33.445;2025-01-11;2025-01-11;;1;18;3;false
Vollcorner;;14.2;7.1;2025-01-11;2025-01-11;;1;18;3;false
Geschenk für Milena;Pogo Stick 35€ Geld 50€;75;37.5;2025-01-10;2025-01-10;;1;17;3;false
Edeka ;;47.9;23.95;2025-01-09;2025-01-09;;2;18;3;false
Netflix ;;13.99;6.995;2025-01-08;2025-01-08;;2;20;3;false
Edeka;;12.14;6.07;2025-01-08;2025-01-08;;2;18;3;false
Edeka ;;41.69;20.845;2025-01-07;2025-01-07;;1;18;3;false
SAM;;37;18.5;2025-01-05;2025-01-05;;2;19;3;false
Vollcorner ;;32.99;16.495;2025-01-04;2025-01-04;;2;18;3;false
Edeka;;30.36;15.18;2025-01-04;2025-01-04;;2;18;3;false
Ovitrelle ;;62.9;31.45;2025-01-03;2025-01-03;;2;23;3;false
SWM Strom;;36;18;2024-12-30;2024-12-30;;2;20;3;false
Miles;Transport Waschmaschine ;15;7.5;2024-12-29;2024-12-29;;1;20;3;false
Waschmaschine ;Über Kleinanzeigen;100;50;2024-12-29;2024-12-29;;2;20;3;false
DM;;10.75;5.375;2024-12-28;2024-12-28;;2;22;3;false
Edeka ;;39.44;19.72;2024-12-28;2024-12-28;;1;18;3;false
Vollcorner ;;37.31;18.655;2024-12-28;2024-12-28;;1;18;3;false
Alnatura;Kakao-Mandeln für Jenny & Saaten-Taler für Brigitte;6.98;3.49;2024-12-23;2024-12-23;;1;17;3;false
Hugendubel;Mamá und Jenny ;32.94;16.47;2024-12-23;2024-12-23;;2;17;3;false
Galeria;Gläser + Kalender für 2;30.69;15.345;2024-12-23;2024-12-23;;2;20;3;false
Geschenkpapier;;3.9;1.95;2024-12-23;2024-12-23;;2;17;3;false
Internet ;;37.4;18.7;2024-12-23;2024-12-23;;1;20;3;false
Hugendubel ;Geschenke Milena und Kilian;20;10;2024-12-23;2024-12-23;;2;17;3;false
Edeka ;;58.45;29.225;2024-12-21;2024-12-21;;1;18;3;false
Tanken ;;54.91;27.455;2024-12-21;2024-12-21;;1;24;3;false
Vollcorner ;;16.2;8.1;2024-12-21;2024-12-21;;1;18;3;false
Vollcorner ;Zutaten für Plätzchen ;28;14;2024-12-20;2024-12-20;;2;17;3;false
Vollcorner ;Für Marco und Eltern;50;25;2024-12-20;2024-12-20;;2;17;3;false
DM;;26.5;13.25;2024-12-14;2024-12-14;;2;22;3;false
Edeka ;;65.69;32.845;2024-12-14;2024-12-14;;2;18;3;false
Rossmann;Nusskernmischung 2x;13.98;6.99;2024-12-14;2024-12-14;;1;18;3;false
VollCorner;Brot;6;3;2024-12-13;2024-12-13;;2;18;3;false
VollCorner;;15.46;7.73;2024-12-13;2024-12-13;;2;18;3;false
VollCorner;;24.88;12.44;2024-12-13;2024-12-13;;2;18;3;false
Netflix ;;13.99;6.995;2024-12-10;2024-12-10;;2;20;3;false
Edeka;;98.14;49.07;2024-12-09;2024-12-09;;2;18;3;false
Ovitrelle ;;62.9;31.45;2024-12-09;2024-12-09;;2;23;3;false
