title,description,amount,average_per_member,date_purchased,date_created,last_update,user_id,category_id,group_id,is_deleted
Supermarkt,Lebensmittel,78.12,39.06,2022-08-26,2022-08-26 00:00:00.000000,,1,1,6,false
Italien,Pizzeria,43.00,21.5,2022-07-09,2022-07-09 00:00:00.000000,,7,2,6,false
Supermarkt,Lebensmittel,96.75,48.375,2022-01-27,2022-01-27 00:00:00.000000,,7,1,6,false
Geburtstag,Geschenk für Kollegen,19.48,9.74,2022-03-23,2022-03-23 00:00:00.000000,,7,6,6,false
Reparatur,Ölwechsel,117.51,58.755,2022-05-23,2022-05-23 00:00:00.000000,,1,3,6,false
Supermarkt,Lebensmittel,92.81,46.405,2022-04-23,2022-04-23 00:00:00.000000,,1,1,6,false
Supermarkt,Lebensmittel,42.14,21.07,2022-05-06,2022-05-06 00:00:00.000000,,1,1,6,false
Biergarten,,14.66,7.33,2022-06-24,2022-06-24 00:00:00.000000,,7,5,6,false
Kino,Guglhupf Geschwader,81.78,40.89,2022-09-01,2022-09-01 00:00:00.000000,,1,7,6,false
Kitzbühel,Skikarte,108.3,54.15,2022-02-14,2022-02-14 00:00:00.000000,,7,2,6,false
Kitzbühel,Abendessen,57.98,28.99,2022-02-14,2022-02-14 00:00:00.000000,,1,2,6,false
Internet,,35.95,17.975,2022-04-05,2022-04-05 00:00:00.000000,,1,4,6,false
Baumarkt,Hochbeet + Erde,287.67,143.835,2022-05-08,2022-05-08 00:00:00.000000,,7,4,6,false
Supermarkt,Lebensmittel,46.7,23.35,2022-06-09,2022-06-09 00:00:00.000000,,7,1,6,false
Möbel,Küchentisch,109.21,54.605,2022-09-04,2022-09-04 00:00:00.000000,,7,4,6,false
Tanken,,75.08,37.54,2022-09-12,2022-09-12 00:00:00.000000,,7,3,6,false
Supermarkt,Lebensmittel,62.43,31.215,2022-08-25,2022-08-25 00:00:00.000000,,1,1,6,false
