membership_start,membership_end,type,user_id,group_id
2022-01-10 00:00:00.000000,2022-01-30 19:05:10.376000,OWNER,2,7
2022-01-15 13:22:12.318000,2022-01-30 17:55:42.425000,MEMBER,3,7
2022-01-05 13:24:12.155000,2022-02-28 11:56:36.879000,MEMBER,5,7
2022-01-30 13:18:12.281000,2022-01-30 19:05:10.371000,MEMBER,1,7
2022-01-30 19:05:10.371000,2022-02-28 11:56:36.874000,OWNER,1,7
2022-01-30 19:05:10.376000,2022-01-30 20:20:12.581000,MEMBER,2,7
2022-02-01 08:25:32.344000,2022-02-25 09:55:45.444000,MEMBER,4,7
2022-02-28 11:56:36.874000,2022-02-28 11:59:23.644000,MEMBER,1,7
2022-02-28 11:56:36.879000,2022-04-05 19:44:49.285000,OWNER,5,7
2022-04-05 14:11:16.647000,2022-04-05 19:44:49.285000,MEMBER,1,7
2022-04-05 15:33:36.544000,2022-04-30 13:28:56.234000,MEMBER,4,7
2022-04-05 19:44:49.285000,2022-04-05 19:50:03.349000,MEMBER,5,7
2022-04-05 19:44:49.285000,2022-05-29 21:26:47.817000,OWNER,1,7
2022-05-05 10:56:11.989000,2022-05-30 11:19:32.126000,MEMBER,2,7
2022-05-08 16:05:51.789000,2022-05-29 21:26:47.817000,MEMBER,3,7
2022-05-29 21:26:47.817000,2022-05-29 22:55:47.267000,MEMBER,1,7
2022-05-29 21:26:47.817000,2022-07-05 15:14:12.765000,OWNER,3,7
2022-06-01 09:16:23.247000,2022-06-25 18:06:09.642000,MEMBER,5,7
2022-07-02 11:26:32.567000,2022-07-05 15:14:12.765000,MEMBER,2,7
2022-07-04 14:54:44.298000,2022-11-24 07:14:11.852000,MEMBER,4,7
2022-07-05 15:14:12.765000,,MEMBER,3,7
2022-07-05 15:14:12.765000,,OWNER,2,7
2022-08-02 15:34:02.913000,,MEMBER,1,7
2022-08-07 16:55:08.357000,,MEMBER,5,7
